customer_id,gender,age,city,education,marital_status,annual_income,credit_score,loan_amount,employment_years,debt_ratio,num_existing_loans,missed_payments,aadhar_number,pan_number,contact_number,loan_approved
CUST1000,Male,22,Chennai,Graduate,Divorced,209393,581,563575,7,0.21,1,10,2244 2535 4582,ABCDE4811F,9642621108,1
CUST1001,Male,56,Mumbai,Post-Graduate,Divorced,67124,858,929796,7,0.46,4,12,,,,1
CUST1002,Male,30,Chennai,Undergraduate,Married,71443,644,264350,2,0.4,5,5,,,,1
CUST1003,Male,45,Delhi,Graduate,Married,35656,865,664839,26,0.6,5,9,,,,1
CUST1004,Male,26,Pune,Post-Graduate,Single,239216,538,1867147,3,0.4,7,10,,,,1
CUST1005,Male,65,Bangalore,Diploma,Single,194187,373,1327440,20,0.24,3,2,,,,1
CUST1006,Female,64,Pune,Graduate,Married,100008,357,530348,26,0.13,5,6,,,,0
CUST1007,Male,34,Pune,Post-Graduate,Married,186819,811,879700,28,0.83,7,2,,,,1
CUST1008,Male,58,Bangalore,Graduate,Married,127311,897,887603,11,0.28,2,8,,,,1
CUST1009,Female,61,Chennai,Undergraduate,Divorced,56938,732,1300760,2,0.41,9,7,,,,1
CUST1010,Male,64,Pune,Graduate,Single,203932,417,1479650,28,0.53,4,12,,,,1
CUST1011,Male,21,Pune,Post-Graduate,Married,204292,569,1099805,24,0.24,1,10,,,,1
CUST1012,Female,55,Mumbai,Undergraduate,Single,219112,843,1976220,0,0.58,7,0,,,,1
CUST1013,Female,57,Delhi,Post-Graduate,Divorced,35645,387,1584921,15,0.75,8,12,,,,0
CUST1014,Female,37,Pune,Diploma,Divorced,153326,733,494173,29,0.53,3,11,,,,1
CUST1015,Male,54,Chennai,Post-Graduate,Divorced,133354,423,569895,7,0.15,0,9,,,,0
CUST1016,Male,61,Chennai,Post-Graduate,Single,30433,534,191348,28,0.13,5,1,,,,1
CUST1017,Female,55,Bangalore,Post-Graduate,Married,49684,884,1258403,15,0.29,7,12,,,,1
CUST1018,Male,43,Mumbai,Graduate,Single,126038,720,1029421,27,0.68,10,10,,,,1
CUST1019,Male,36,Bangalore,Post-Graduate,Married,65224,494,1174672,14,0.21,2,4,,,,0
CUST1020,Male,24,Bangalore,Diploma,Single,185955,853,1803276,0,0.88,3,2,,,,1
CUST1021,Male,24,Bangalore,Diploma,Married,58158,688,54520,12,0.31,7,4,,,,1
CUST1022,Female,24,Bangalore,Post-Graduate,Married,166828,855,177837,23,0.35,0,9,,,,1
CUST1023,Male,32,Delhi,Graduate,Divorced,32962,369,1466023,27,0.29,1,9,,,,0
CUST1024,Male,37,Pune,Diploma,Single,68545,621,550560,8,0.42,10,10,,,,1
CUST1025,Male,21,Delhi,Undergraduate,Married,135136,876,259675,2,0.53,8,4,,,,1
CUST1026,Male,39,Chennai,Graduate,Divorced,56352,748,1798489,17,0.66,9,12,,,,1
CUST1027,Male,63,Pune,Undergraduate,Divorced,42154,437,604625,3,0.81,8,2,,,,0
CUST1028,Male,34,Bangalore,Undergraduate,Married,195223,570,1109919,15,0.3,0,1,,,,1
CUST1029,Female,61,Mumbai,Graduate,Married,83670,465,1604473,14,0.54,6,8,,,,0
CUST1030,Female,55,Pune,Undergraduate,Married,24444,678,1271611,17,0.22,2,0,,,,1
CUST1031,Female,64,Delhi,Post-Graduate,Married,80412,405,791717,24,0.55,6,9,,,,0
CUST1032,Female,47,Delhi,Undergraduate,Married,21497,483,1594687,29,0.37,6,12,,,,0
CUST1033,Male,45,Pune,Post-Graduate,Married,243633,339,1850600,15,0.28,7,5,,,,0
CUST1034,Female,46,Chennai,Diploma,Divorced,101051,585,1862679,2,0.87,4,5,,,,0
CUST1035,Male,22,Mumbai,Diploma,Single,45236,567,424483,18,0.87,4,0,,,,0
CUST1036,Male,48,Mumbai,Diploma,Married,173914,823,292526,12,0.82,3,4,,,,1
CUST1037,Female,44,Mumbai,Undergraduate,Divorced,128062,371,1443007,29,0.36,5,10,,,,0
CUST1038,Male,41,Delhi,Undergraduate,Single,120486,602,1212687,4,0.25,10,6,,,,1
CUST1039,Male,40,Bangalore,Diploma,Single,90212,515,951540,25,0.56,10,5,,,,1
CUST1040,Male,31,Mumbai,Post-Graduate,Divorced,187713,386,645143,16,0.63,9,5,,,,0
CUST1041,Female,30,Bangalore,Post-Graduate,Divorced,21402,347,563472,15,0.59,1,7,,,,0
CUST1042,Male,46,Bangalore,Post-Graduate,Married,78959,451,1425853,22,0.1,1,12,,,,1
CUST1043,Male,24,Bangalore,Undergraduate,Single,161120,555,1974074,27,0.2,2,12,,,,1
CUST1044,Male,56,Delhi,Undergraduate,Divorced,131893,462,1609558,27,0.48,4,12,,,,1
CUST1045,Female,38,Chennai,Graduate,Married,130309,379,1546412,9,0.29,5,5,,,,0
CUST1046,Male,65,Bangalore,Graduate,Married,55056,519,184697,13,0.43,8,7,,,,0
CUST1047,Male,58,Mumbai,Undergraduate,Single,197327,320,1846697,28,0.71,6,7,,,,1
CUST1048,Male,55,Pune,Diploma,Single,210956,859,1727445,19,0.82,7,3,,,,1
CUST1049,Male,63,Chennai,Graduate,Single,193032,714,1568718,5,0.77,2,9,,,,1
CUST1050,Male,26,Bangalore,Undergraduate,Married,183492,738,334582,27,0.47,0,4,4764 7211 5558,,,1
CUST1051,Male,37,Delhi,Graduate,Divorced,233866,383,1036304,0,0.7,0,5,,,,0
CUST1052,Male,36,Mumbai,Post-Graduate,Single,67261,320,1353035,4,0.29,7,10,,,,0
CUST1053,Male,31,Chennai,Graduate,Single,173831,417,1681147,26,0.23,4,1,,,,1
CUST1054,Male,46,Mumbai,Undergraduate,Divorced,202436,503,209376,18,0.65,10,3,,,,1
CUST1055,Male,57,Chennai,Undergraduate,Married,220163,342,778139,17,0.44,5,1,,,,1
CUST1056,Male,27,Delhi,Undergraduate,Divorced,128645,670,1382918,28,0.76,2,6,,,,1
CUST1057,Male,50,Bangalore,Post-Graduate,Single,129183,574,725921,27,0.3,1,4,,,,1
CUST1058,Male,42,Pune,Undergraduate,Single,22523,806,1834577,10,0.25,3,5,,,,1
CUST1059,Male,56,Chennai,Post-Graduate,Divorced,17661,829,450674,2,0.29,6,7,,,,1
CUST1060,Male,49,Chennai,Undergraduate,Single,222862,317,245147,9,0.28,3,4,,,,0
CUST1061,Male,48,Pune,Post-Graduate,Married,210542,863,743719,11,0.66,4,4,,,,1
CUST1062,Male,28,Bangalore,Undergraduate,Divorced,209741,848,1648427,22,0.25,3,11,,,,1
CUST1063,Male,27,Chennai,Post-Graduate,Single,233268,498,671273,7,0.39,4,0,,,,0
CUST1064,Male,56,Chennai,Undergraduate,Single,91581,429,1387709,27,0.7,1,0,,,,0
CUST1065,Male,32,Bangalore,Graduate,Divorced,28468,558,1857164,15,0.19,1,6,,,,1
CUST1066,Male,30,Bangalore,Post-Graduate,Divorced,54111,876,687189,2,0.9,1,8,,,,0
CUST1067,Male,40,Mumbai,Post-Graduate,Divorced,240487,739,690428,18,0.6,9,11,,,,1
CUST1068,Male,31,Chennai,Diploma,Single,77879,477,1207611,2,0.23,6,7,,,,0
CUST1069,Male,39,Chennai,Post-Graduate,Single,199283,764,199274,21,0.29,4,12,,,,1
CUST1070,Female,62,Pune,Undergraduate,Single,54056,572,1783571,4,0.16,2,12,,,,0
CUST1071,Male,65,Mumbai,Diploma,Divorced,120515,578,1099566,17,0.5,1,9,,,,1
CUST1072,Male,22,Pune,Graduate,Married,38940,534,1464106,26,0.79,9,0,,,,0
CUST1073,Male,38,Pune,Diploma,Single,62576,899,964117,20,0.75,1,7,,,,1
CUST1074,Male,31,Chennai,Graduate,Single,101456,721,1504739,15,0.33,6,12,,,,1
CUST1075,Male,41,Chennai,Diploma,Single,45388,713,1863848,16,0.76,0,10,,ABCDE9494F,,0
CUST1076,Male,60,Chennai,Post-Graduate,Single,213297,810,1361577,14,0.71,3,4,,,,1
CUST1077,Male,28,Bangalore,Graduate,Married,22567,545,1538522,5,0.35,0,8,,,,0
CUST1078,Male,50,Pune,Diploma,Single,45793,457,1095169,29,0.67,8,11,,,,1
CUST1079,Female,50,Delhi,Graduate,Single,159510,448,854438,6,0.84,8,11,,,,0
CUST1080,Male,42,Chennai,Diploma,Married,221495,819,610301,26,0.1,4,9,,,9620057604,1
CUST1081,Male,42,Delhi,Diploma,Married,159681,856,841066,14,0.85,3,11,,,,1
CUST1082,Male,23,Delhi,Diploma,Married,98408,784,1528970,29,0.75,6,10,,,,1
CUST1083,Male,27,Delhi,Diploma,Divorced,244163,750,259110,16,0.83,0,11,,,,1
CUST1084,Male,51,Pune,Diploma,Single,219872,571,760014,19,0.65,10,1,,,,1
CUST1085,Male,55,Mumbai,Diploma,Married,24410,370,542348,20,0.65,4,3,,,,0
CUST1086,Male,49,Pune,Undergraduate,Single,58611,606,1944617,0,0.14,0,4,,,,0
CUST1087,Male,57,Delhi,Diploma,Divorced,193729,484,406481,5,0.16,6,9,,,,0
CUST1088,Male,61,Chennai,Post-Graduate,Married,81578,770,585458,21,0.11,7,4,,,,1
CUST1089,Male,58,Bangalore,Diploma,Married,93421,734,1497692,8,0.47,4,3,,,,1
CUST1090,Male,57,Chennai,Graduate,Divorced,92561,602,96010,26,0.63,4,0,,,,1
CUST1091,Male,35,Delhi,Graduate,Divorced,174138,660,509285,20,0.25,4,10,,,,1
CUST1092,Male,49,Bangalore,Post-Graduate,Married,23746,893,815169,23,0.21,4,5,,,,1
CUST1093,Male,54,Pune,Undergraduate,Married,146542,579,1791627,5,0.31,7,12,,,,1
CUST1094,Male,30,Chennai,Undergraduate,Married,212696,531,1853845,21,0.68,6,12,,,,1
CUST1095,Male,37,Chennai,Diploma,Divorced,155659,426,1003755,11,0.64,10,4,,,,1
CUST1096,Male,64,Chennai,Post-Graduate,Divorced,76295,782,102480,19,0.81,8,5,,,,0
CUST1097,Male,65,Bangalore,Graduate,Married,94217,718,294687,4,0.14,0,4,,,,1
